tab	sites
site	location	samples	specimens	age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
AF1-25a	Keweenaw Peninsula	AF1-25a	AF1-25a	992.0	985.0	Ma		hdt	274.7	-6.4		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  180.8 	   90.8 	    0.8 	  176.2 
AF1-26a	Keweenaw Peninsula	AF1-26a	AF1-26a	992.0	985.0	Ma		hdt	277.7	-12.9		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  183.5 	   93.5 	    0.4 	  171.7 
AF1-26a	Keweenaw Peninsula	AF1-26a	AF1-26a	992.0	985.0	Ma		hdt	277.5	-13.4		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  183.7 	   93.8 	    0.1 	  171.7 
AF1-27a	Keweenaw Peninsula	AF1-27a	AF1-27a	992.0	985.0	Ma		hdt	276.6	-12.2		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  183.1 	   93.1 	   -0.1 	  172.8 
AF1-27a	Keweenaw Peninsula	AF1-27a	AF1-27a	992.0	985.0	Ma		hdt	276.5	-12.7		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  183.4 	   93.4 	   -0.3 	  172.7 
AF1-28a	Keweenaw Peninsula	AF1-28a	AF1-28a	992.0	985.0	Ma		hdt	282.4	-15.5		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  185.0 	   95.1 	    2.5 	  167.3 
AF1-28a	Keweenaw Peninsula	AF1-28a	AF1-28a	992.0	985.0	Ma		hdt	282.2	-16.1		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  185.4 	   95.5 	    2.1 	  167.3 
AF1-2a	Keweenaw Peninsula	AF1-2a	AF1-2a	992.0	985.0	Ma		hdt	273.9	-4.8		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  180.5 	   90.5 	    0.9 	  177.3 
AF1-2a	Keweenaw Peninsula	AF1-2a	AF1-2a	992.0	985.0	Ma		hdt	274.0	-4.2		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  180.4 	   90.4 	    1.2 	  177.4 
AF1-4a	Keweenaw Peninsula	AF1-4a	AF1-4a	992.0	985.0	Ma		hct	75.3	29.1		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  198.5 	  109.4 	   21.3 	    1.7 
